Year,Team,KenPomRank,AdjEM,AdjO,AdjD,AdjT,Luck,SOS,NCSOS
2018,Abilene Christian,265,-8.89336,98.7584,107.652,68.4251,0.0,0.0,0.0
2018,Air Force,232,-6.12387,100.858,106.982,65.9345,0.0,0.0,0.0
2018,Akron,258,-8.29336,102.084,110.378,67.7289,0.0,0.0,0.0
2018,Alabama,51,13.8252,108.459,94.6334,68.7962,0.0,0.0,0.0
2018,Alabama A&M,351,-28.5736,86.7317,115.305,65.695,0.0,0.0,0.0
2018,Alabama St.,339,-20.1217,95.9583,116.08,68.7067,0.0,0.0,0.0
2018,Albany,152,1.43775,107.317,105.879,66.1383,0.0,0.0,0.0
2018,Alcorn St.,336,-19.6089,95.1709,114.78,67.9299,0.0,0.0,0.0
2018,American,329,-16.2153,95.8765,112.092,66.5061,0.0,0.0,0.0
2018,Appalachian St.,208,-4.05258,103.761,107.814,70.0171,0.0,0.0,0.0
2018,Arizona,21,19.3692,119.012,99.6425,67.313,0.0,0.0,0.0
2018,Arizona St.,45,14.714,117.651,102.937,71.5605,0.0,0.0,0.0
2018,Arkansas,37,15.635,117.32,101.685,69.6899,0.0,0.0,0.0
2018,Arkansas Pine Bluff,330,-16.5966,93.7489,110.346,67.4153,0.0,0.0,0.0
2018,Arkansas St.,281,-10.4554,104.844,115.299,69.5131,0.0,0.0,0.0
2018,Army,264,-8.8612,100.037,108.898,70.3704,0.0,0.0,0.0
2018,Auburn,16,20.6348,118.196,97.5614,72.2946,0.0,0.0,0.0
2018,Austin Peay,188,-2.30435,105.23,107.535,68.7758,0.0,0.0,0.0
2018,Ball St.,174,-0.309988,103.571,103.881,69.8897,0.0,0.0,0.0
2018,Baylor,34,16.1649,111.2,95.0346,66.4201,0.0,0.0,0.0
2018,Belmont,83,9.01879,113.007,103.988,66.9012,0.0,0.0,0.0
2018,Bethune Cookman,285,-11.1004,99.855,110.955,76.0268,0.0,0.0,0.0
2018,Binghamton,300,-12.1856,97.6222,109.808,66.0295,0.0,0.0,0.0
2018,Boise St.,58,13.127,110.617,97.4901,68.3666,0.0,0.0,0.0
2018,Boston,73,10.716,113.834,103.118,70.1484,0.0,0.0,0.0
2018,Boston,260,-8.38666,100.406,108.792,67.4842,0.0,0.0,0.0
2018,Bowling Green,238,-6.31489,102.363,108.678,70.0539,0.0,0.0,0.0
2018,Bradley,125,3.77418,104.533,100.759,65.7438,0.0,0.0,0.0
2018,Brown,269,-9.17291,101.118,110.291,71.6575,0.0,0.0,0.0
2018,Bryant,344,-21.7588,99.1515,120.91,70.0727,0.0,0.0,0.0
2018,Bucknell,100,6.8137,109.182,102.368,71.4452,0.0,0.0,0.0
2018,Buffalo,77,10.4931,114.284,103.791,72.8022,0.0,0.0,0.0
2018,Butler,25,17.8667,115.758,97.8916,67.8456,0.0,0.0,0.0
2018,BYU,70,10.967,109.043,98.0758,67.3485,0.0,0.0,0.0
2018,Cal Poly,322,-14.6783,98.6925,113.371,66.1817,0.0,0.0,0.0
2018,Cal St. Bakersfield,239,-6.31828,97.8823,104.201,65.3109,0.0,0.0,0.0
2018,Cal St. Fullerton,153,1.3154,104.984,103.669,69.5384,0.0,0.0,0.0
2018,Cal St. Northridge,328,-16.1148,97.1748,113.29,65.726,0.0,0.0,0.0
2018,California,241,-6.78228,98.7142,105.496,68.6367,0.0,0.0,0.0
2018,Campbell,227,-5.65788,104.711,110.369,67.9112,0.0,0.0,0.0
2018,Canisius,130,3.47331,107.802,104.329,68.6964,0.0,0.0,0.0
2018,Central Arkansas,201,-3.6301,106.065,109.695,72.6483,0.0,0.0,0.0
2018,Central Connecticut,306,-12.6074,98.3842,110.992,64.4696,0.0,0.0,0.0
2018,Central Michigan,177,-0.458209,108.06,108.518,67.2261,0.0,0.0,0.0
2018,Charleston Southern,248,-7.62623,99.5751,107.201,66.42,0.0,0.0,0.0
2018,Charlotte,317,-13.5659,99.2459,112.812,71.1708,0.0,0.0,0.0
2018,Chattanooga,305,-12.5706,99.5772,112.148,65.4585,0.0,0.0,0.0
2018,Chicago St.,346,-22.466,96.8943,119.36,72.1254,0.0,0.0,0.0
2018,Cincinnati,4,26.9966,113.155,86.158,64.6798,0.0,0.0,0.0
2018,Clemson,19,20.2693,113.774,93.5052,65.6205,0.0,0.0,0.0
2018,Cleveland St.,307,-12.6266,97.8525,110.479,67.0338,0.0,0.0,0.0
2018,Coastal Carolina,209,-4.07686,102.108,106.185,67.7749,0.0,0.0,0.0
2018,Colgate,210,-4.11154,105.332,109.443,66.2209,0.0,0.0,0.0
2018,College of Charleston,120,4.73418,109.887,105.153,64.6463,0.0,0.0,0.0
2018,Colorado,110,5.67601,105.412,99.7361,67.7413,0.0,0.0,0.0
2018,Colorado St.,225,-5.55015,102.992,108.542,69.5997,0.0,0.0,0.0
2018,Columbia,233,-6.14405,107.532,113.676,69.9189,0.0,0.0,0.0
2018,Connecticut,173,-0.251352,105.308,105.56,66.9317,0.0,0.0,0.0
2018,Coppin St.,347,-23.9745,86.7585,110.733,67.0236,0.0,0.0,0.0
2018,Cornell,267,-8.97831,104.811,113.789,69.1552,0.0,0.0,0.0
2018,Creighton,27,17.2792,116.454,99.1744,70.8444,0.0,0.0,0.0
2018,Dartmouth,299,-12.1529,98.7331,110.886,66.7574,0.0,0.0,0.0
2018,Davidson,43,14.9051,117.399,102.494,64.1645,0.0,0.0,0.0
2018,Dayton,168,0.0754615,108.662,108.587,66.1889,0.0,0.0,0.0
2018,Delaware,250,-7.7246,102.21,109.935,65.8879,0.0,0.0,0.0
2018,Delaware St.,350,-27.9685,90.5592,118.528,64.8606,0.0,0.0,0.0
2018,Denver,206,-3.81948,103.105,106.924,66.4442,0.0,0.0,0.0
2018,DePaul,101,6.73631,104.75,98.0134,69.8151,0.0,0.0,0.0
2018,Detroit,321,-14.6765,102.603,117.28,72.3511,0.0,0.0,0.0
2018,Drake,154,1.23476,106.797,105.562,68.0323,0.0,0.0,0.0
2018,Drexel,253,-7.85724,103.158,111.015,69.0006,0.0,0.0,0.0
2018,Duke,3,29.1348,122.602,93.467,70.0021,0.0,0.0,0.0
2018,Duquesne,200,-3.55272,104.905,108.458,66.2143,0.0,0.0,0.0
2018,East Carolina,308,-12.7236,97.1148,109.838,68.6719,0.0,0.0,0.0
2018,East Tennessee St.,92,7.52941,105.603,98.0734,67.5968,0.0,0.0,0.0
2018,Eastern Illinois,257,-8.22371,99.2873,107.511,65.5099,0.0,0.0,0.0
2018,Eastern Kentucky,286,-11.1333,101.898,113.032,68.5091,0.0,0.0,0.0
2018,Eastern Michigan,147,2.08468,103.38,101.296,64.5311,0.0,0.0,0.0
2018,Eastern Washington,129,3.47985,108.344,104.864,66.1275,0.0,0.0,0.0
2018,Elon,252,-7.81591,103.814,111.63,67.277,0.0,0.0,0.0
2018,Evansville,138,2.65607,99.4854,96.8294,65.653,0.0,0.0,0.0
2018,Fairfield,211,-4.20669,102.399,106.606,70.4743,0.0,0.0,0.0
2018,Fairleigh Dickinson,274,-9.85364,102.606,112.46,70.4182,0.0,0.0,0.0
